(Thousands of Dollars),United States**,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi*,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Current charge,"229,236,010","5,040,778","748,504","3,095,852","2,563,526","30,603,893","4,144,982","2,376,419","1,067,920","8,372,808","3,732,054","1,896,868","2,538,797","5,360,979","3,549,814","3,619,516","4,118,746","3,907,379","2,066,634","859,687","3,810,875","5,573,313","9,501,634","2,704,967","1,590,327","3,116,903","505,976","947,882","824,663","969,753","6,791,421","1,692,840","10,383,880","6,137,671","791,199","9,518,654","2,890,003","7,083,134","11,498,190","837,638","5,243,200","399,283","2,292,033","15,915,730","5,154,042","655,776","10,188,344","5,882,552","1,805,124","4,643,405","220,442"
Miscellaneous general revenue,"146,372,909","1,363,920","3,120,238","2,347,675","1,152,864","9,333,900","2,064,082","1,557,621","1,267,684","7,567,073","2,739,213","1,738,330","476,194","4,915,724","2,177,424","1,513,441","1,232,141","1,068,925","1,986,149","466,603","2,406,849","5,364,022","4,517,848","2,115,288","594,503","2,595,784","402,814","794,794","658,299","825,342","5,129,124","2,464,732","14,163,731","3,794,014","565,542","5,644,935","2,362,625","3,399,423","5,830,259","882,621","2,576,271","604,915","2,058,274","14,570,384","1,188,625","245,725","4,085,118","2,982,880","1,175,862","3,185,444","1,097,661"
Utility revenue,"13,605,213",,"18,690","29,450",,"1,004,089",,"35,981","22,485","24,652","9,955",,,,,0,,0,"8,821","9,835","149,012","926,211",,"104,120",,,,,"43,332",,"1,122,928",0,"7,716,669",4,0,,"620,922",404,,"24,931","1,729,338",,,,0,,0,221,"2,732",0,431
Liquor stores revenue,"8,198,947","325,393",,,,,,,,,,0,"164,153",,,"306,174",,,,33,,,"1,082,256",,"348,110",,"96,514",,,"686,141",,,,,,"1,154,329",,"595,077","2,012,789",,,,,,"380,544","64,126","779,038",0,"93,039",,"111,231"
Insurance trust revenue,"553,731,070","4,984,418","2,197,635","9,001,437","4,797,315","109,034,240","6,888,600","6,807,296","1,189,175","23,441,827","12,775,799","2,684,662","3,120,323","19,949,760","5,241,705","5,357,767","3,740,210","6,064,946","8,723,118","2,041,405","6,386,502","11,776,512","15,309,290","12,412,268","1,785,669","10,342,963","2,353,415","2,148,251","7,035,691","1,630,427","14,997,611","4,309,193","44,853,414","14,294,384","1,273,195","29,668,655","5,445,211","12,087,047","17,290,180","1,730,556","6,422,411","1,706,338","6,008,824","35,219,107","3,562,634","794,093","13,432,836","15,898,188","3,104,633","11,255,095","1,154,839"
Total expenditure,"2,315,600,480","33,881,477","11,290,460","39,078,156","23,058,497","350,012,165","34,949,835","27,865,949","10,011,635","92,696,645","49,601,648","12,680,681","9,571,879","85,515,251","42,083,220","23,251,836","19,597,970","36,311,322","33,813,850","9,062,175","45,313,681","66,483,110","72,159,761","47,309,258","22,270,614","33,635,650","7,745,680","10,618,168","16,221,269","7,882,386","72,339,494","20,407,058","201,170,168","55,570,958","7,532,032","88,232,183","25,252,040","39,668,240","104,023,221","8,780,280","33,880,302","5,265,167","33,218,749","146,437,845","20,595,842","8,665,775","53,436,948","54,878,871","14,686,179","39,873,101","7,711,799"
Intergovernmental expenditure,"546,688,764","6,931,626","1,829,640","9,560,596","5,373,102","107,877,299","7,604,250","5,651,917","1,583,343","21,484,868","12,325,150","328,020","2,408,604","19,192,558","11,213,561","5,505,683","4,860,179","5,713,675","6,415,070","1,300,980","9,631,764","8,955,488","21,383,356","13,546,867","5,225,210","6,298,000","1,128,565","2,457,060","4,772,756","831,584","11,662,914","4,735,545","62,034,994","13,438,382","1,978,548","18,796,046","4,446,655","5,764,089","22,256,314","1,277,277","6,735,297","863,182","7,882,887","29,581,049","3,784,508","1,775,714","11,927,574","12,657,621","2,457,100","8,826,031","2,416,266"
Direct expenditure,"1,768,911,716","26,949,851","9,460,820","29,517,560","17,685,395","242,134,866","27,345,585","22,214,032","8,428,292","71,211,777","37,276,498","12,352,661","7,163,275","66,322,693","30,869,659","17,746,153","14,737,791","30,597,647","27,398,780","7,761,195","35,681,917","57,527,622","50,776,405","33,762,391","17,045,404","27,337,650","6,617,115","8,161,108","11,448,513","7,050,802","60,676,580","15,671,513","139,135,174","42,132,576","5,553,484","69,436,137","20,805,385","33,904,151","81,766,907","7,503,003","27,145,005","4,401,985","25,335,862","116,856,796","16,811,334","6,890,061","41,509,374","42,221,250","12,229,079","31,047,070","5,295,533"
Current operation,"1,248,592,439","19,070,573","6,557,649","22,068,611","13,700,779","169,982,770","18,708,930","13,235,125","6,296,600","51,805,721","25,601,832","9,715,969","5,257,363","40,462,146","23,479,057","12,246,043","10,931,043","22,121,787","19,142,386","5,997,125","25,026,384","41,462,090","37,254,365","24,615,533","12,643,419","19,936,731","4,993,091","6,315,925","7,313,033","5,253,784","38,679,253","11,853,575","99,157,081","29,945,538","3,824,126","44,386,728","14,433,262","26,061,066","56,147,568","5,153,303","19,325,690","2,998,573","19,566,883","83,441,646","12,134,456","5,811,126","30,936,255","29,318,781","9,226,052","21,277,727","3,717,886"
Capital outlay,"131,472,109","1,983,157","1,175,802","1,623,355","1,368,534","8,776,504","1,802,663","2,187,546","885,159","7,272,080","3,281,786","914,929","457,908","5,544,884","2,236,324","2,043,786","1,505,017","2,175,833","2,143,229","399,970","3,329,842","4,980,585","2,529,535","1,847,895","1,221,672","1,248,841","370,538","816,316","896,872","493,748","4,618,974","829,836","9,739,136","4,170,790","805,462","4,605,675","2,509,741","1,248,204","8,453,927","442,114","2,338,303","587,919","1,530,839","11,054,713","1,739,728","336,308","3,231,529","3,165,197","906,260","2,991,683","651,461"
